Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.434026
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.550401
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.507889
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.497243
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.436401
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.544183
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.777445
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.424232
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.777445
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
10-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.555439
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.544805
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.408281
09-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.502611
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.554658
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.690009
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687847
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.479525
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.567951
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
